"alert","package","severity","manifest","githubScope","ghsa","affectedRange","firstPatched","url"
"14","hono","medium","pnpm-lock.yaml","runtime","GHSA-v8w9-8mx6-g223","< 4.12.7","4.12.7","https://github.com/quieter-email/quieter/security/dependabot/14"
"13","@hono/node-server","high","pnpm-lock.yaml","runtime","GHSA-wc8c-qw6v-h7f6","< 1.19.10","1.19.10","https://github.com/quieter-email/quieter/security/dependabot/13"
"12","hono","medium","pnpm-lock.yaml","runtime","GHSA-5pq2-9x2x-5p6w","< 4.12.4","4.12.4","https://github.com/quieter-email/quieter/security/dependabot/12"
"11","hono","medium","pnpm-lock.yaml","runtime","GHSA-p6xx-57qc-3wxr","< 4.12.4","4.12.4","https://github.com/quieter-email/quieter/security/dependabot/11"
"10","hono","high","pnpm-lock.yaml","runtime","GHSA-q5qw-h33p-qvwr","< 4.12.4","4.12.4","https://github.com/quieter-email/quieter/security/dependabot/10"
"9","hono","low","pnpm-lock.yaml","runtime","GHSA-gq3j-xvxp-8hrf","< 4.11.10","4.11.10","https://github.com/quieter-email/quieter/security/dependabot/9"
"8","hono","medium","pnpm-lock.yaml","runtime","GHSA-9r54-q6cx-xmh5","< 4.11.7","4.11.7","https://github.com/quieter-email/quieter/security/dependabot/8"
"7","hono","medium","pnpm-lock.yaml","runtime","GHSA-w332-q679-j88p","< 4.11.7","4.11.7","https://github.com/quieter-email/quieter/security/dependabot/7"
"6","hono","medium","pnpm-lock.yaml","runtime","GHSA-6wqw-2p9w-4vw4","< 4.11.7","4.11.7","https://github.com/quieter-email/quieter/security/dependabot/6"
"5","hono","medium","pnpm-lock.yaml","runtime","GHSA-r354-f388-2fhh","< 4.11.7","4.11.7","https://github.com/quieter-email/quieter/security/dependabot/5"
"4","lodash","medium","pnpm-lock.yaml","runtime","GHSA-xxjr-mmjv-4gpg",">= 4.0.0, <= 4.17.22","4.17.23","https://github.com/quieter-email/quieter/security/dependabot/4"
